,filepath,theta,phi,turbidity,exposure,elevation,fov
0,dashcam_illumination/train/2qgTnlk0ash96PSG7gdgZQ_F.png,3.452260584518956,47.6977692456111,3.5,0.042352,-6.32,61.32
1,dashcam_illumination/train/2qgTnlk0ash96PSG7gdgZQ_B.png,-176.54773941548106,45.917769245611076,3.5,0.042352,-8.1,98.62
2,dashcam_illumination/train/2QS7rfv0wHXsRA9sVT1paQ_F.png,20.742976640141073,77.57920815297976,4.5,0.027634,-4.58,94.11
3,dashcam_illumination/train/2QS7rfv0wHXsRA9sVT1paQ_B.png,-159.25702335985898,81.28920815297978,4.5,0.027634,-0.87,67.37
4,dashcam_illumination/train/2rYXHV7UlFOk_PDArAGbuA_F.png,-107.29627895757716,86.08536714970938,3.5,0.035524,2.11,60.27
5,dashcam_illumination/train/2rYXHV7UlFOk_PDArAGbuA_B.png,72.70372104242283,87.53536714970902,3.5,0.035524,3.56,97.93
6,dashcam_illumination/train/2RZ6j6X71jNWct9qjq7GUw_F.png,166.64467075090212,32.93590192624453,2.5,0.04862,-8.69,94.5
7,dashcam_illumination/train/2RZ6j6X71jNWct9qjq7GUw_B.png,-13.355329249097894,44.065901926244536,2.5,0.04862,2.44,89.58
8,dashcam_illumination/train/2s-YAtS_PKZLJJTQZZ5M_A_F.png,-4.138356999806547,61.983312946092425,4.0,0.03742,7.26,63.36
9,dashcam_illumination/train/2s-YAtS_PKZLJJTQZZ5M_A_B.png,175.86164300019345,62.2233129460924,4.0,0.03742,7.5,99.45
10,dashcam_illumination/train/2s1RGKVIhX19_nOGqEIOqw_F.png,-44.53163885015928,63.0880497379737,3.5,0.047776,6.84,97.88
11,dashcam_illumination/train/2s1RGKVIhX19_nOGqEIOqw_B.png,135.46836114984077,59.82804973797369,3.5,0.047776,3.58,95.0
12,dashcam_illumination/train/2SbA2wcIcmXn3l23DcZYwA_F.png,-66.12042143219817,61.28793025576459,4.5,0.033760000000000005,6.09,88.9
13,dashcam_illumination/train/2SbA2wcIcmXn3l23DcZYwA_B.png,113.87957856780184,52.0979302557646,4.5,0.033760000000000005,-3.1,79.98
14,dashcam_illumination/train/2sls6AhatCYOSXnVLOBRsA_F.png,-141.84382596385402,49.63809019692874,4.0,0.034950999999999996,0.13,97.79
15,dashcam_illumination/train/2sls6AhatCYOSXnVLOBRsA_B.png,38.15617403614598,56.158090196928704,4.0,0.034950999999999996,6.65,94.59
16,dashcam_illumination/train/2STI9SGJTpV8N4PsgwQHNg_F.png,174.60507599958262,67.44547035798003,4.5,0.050203,-1.34,65.03
17,dashcam_illumination/train/2STI9SGJTpV8N4PsgwQHNg_B.png,-5.394924000417378,72.54547035798001,4.5,0.050203,3.76,76.9
18,dashcam_illumination/train/2T4YuvNvk_BwkzM18YMEvw_F.png,-127.82315415381723,55.094131260873795,3.5,0.03882,6.88,67.56
19,dashcam_illumination/train/2T4YuvNvk_BwkzM18YMEvw_B.png,52.17684584618277,51.374131260873796,3.5,0.03882,3.16,95.15
20,dashcam_illumination/train/2TH0OApGrz-1am9TR4I75Q_F.png,-105.4174258897402,50.20149879122526,4.0,0.032987999999999996,-8.58,62.08
21,dashcam_illumination/train/2TH0OApGrz-1am9TR4I75Q_B.png,74.5825741102598,52.461498791225246,4.0,0.032987999999999996,-6.32,64.43
22,dashcam_illumination/train/2uTQX8GZ14_it50y4azliw_F.png,-30.854946350660327,49.2724969434804,3.5,0.047352,-3.78,61.14
23,dashcam_illumination/train/2uTQX8GZ14_it50y4azliw_B.png,149.1450536493397,54.752496943480395,3.5,0.047352,1.7,98.33
24,dashcam_illumination/train/2Uw2lfvL7emroJcEEB-w6g_F.png,28.736994218291287,49.624117425308505,4.0,0.028811,2.0,80.97
25,dashcam_illumination/train/2Uw2lfvL7emroJcEEB-w6g_B.png,-151.26300578170873,49.014117425308505,4.0,0.028811,1.39,77.21
26,dashcam_illumination/train/2UWb8R_5kHXRS0OL7OQVVw_F.png,8.665509044751003,43.53698138397768,4.0,0.026788,-1.78,99.53
27,dashcam_illumination/train/2UWb8R_5kHXRS0OL7OQVVw_B.png,-171.334490955249,50.18698138397768,4.0,0.026788,4.87,93.36
28,dashcam_illumination/train/2uxOFI0Q_mvuLaVzh2cMFg_F.png,-54.67042535461253,62.40104050224488,3.5,0.048057,5.3,82.37
29,dashcam_illumination/train/2uxOFI0Q_mvuLaVzh2cMFg_B.png,125.32957464538748,47.6610405022449,3.5,0.048057,-9.44,76.7
30,dashcam_illumination/train/2UzreVqHc6ofkpu2uotVnA_F.png,161.9049692239044,59.5734631330914,3.5,0.055295000000000004,1.63,65.38
31,dashcam_illumination/train/2UzreVqHc6ofkpu2uotVnA_B.png,-18.095030776095623,48.30346313309136,3.5,0.055295000000000004,-9.64,74.73
32,dashcam_illumination/train/2VhU4Oq3Jlp4B7GcPxhv8Q_F.png,21.468940535526773,47.33652040698987,3.0,0.057312,-5.71,81.5
33,dashcam_illumination/train/2VhU4Oq3Jlp4B7GcPxhv8Q_B.png,-158.53105946447326,46.99652040698986,3.0,0.057312,-6.05,77.19
34,dashcam_illumination/train/2vNHblAKa66qgv_AfJM3dg_F.png,-50.927923823557045,62.94089596685811,4.0,0.046816,-0.6,62.88
35,dashcam_illumination/train/2vNHblAKa66qgv_AfJM3dg_B.png,129.07207617644295,67.83089596685812,4.0,0.046816,4.29,63.25
36,dashcam_illumination/train/2vOwtbwW5XHNa6U_i8hQcg_F.png,-100.2614434115428,61.728976098173675,4.0,0.032948000000000005,9.88,69.71
37,dashcam_illumination/train/2vOwtbwW5XHNa6U_i8hQcg_B.png,79.7385565884572,57.718976098173684,4.0,0.032948000000000005,5.87,75.21
